vendor,invoice_no,date,city,phone,gstin_vendor,client,gstin_client,vendor_id,po_amount,approval_status,vendor_rating,lead_time,product,service,quantity,unit_price,total
PwC Consulting Pvt. Ltd.,PwC/2025/INV/1810,01-Apr-2025,Hyderabad,+91-22-6134-9200,73AAECS9564C1Z5,Infotech Edge Pvt. Ltd.,47AACH4246P1Z5,PwC-100010,1068533.92,Pending,4.2,20 Days,sap-sd01,SAP Ariba,15,63960,959400
KPMG Advisory Services Pvt. Ltd.,KPMG/2025/INV/1811,16-Apr-2025,Mumbai,+91-22-6134-9200,18AAECS8077C1Z9,CloudWave Systems Pvt. Ltd.,58AACH2375P1Z7,KPMG-100011,2112919.96,Approved,4.3,23 Days,sap-fi01,SAPS/4HANA Cloud,52,28135,1463020
EY India Pvt. Ltd.,EY/2025/INV/1812,09-Apr-2025,Mumbai,+91-22-6134-9200,50AAECS1971C1Z2,CloudWave Systems Pvt. Ltd.,39AACH5975P1Z1,EY-100012,2332703.0,Approved,4.8,21 Days,sap-fi01,SAP SuccessFactors,10,62407,624070
EY India Pvt. Ltd.,EY/2025/INV/1813,13-Apr-2025,Mumbai,+91-22-6134-9200,37AAECS2774C1Z4,NextGen Softworks Pvt. Ltd.,33AACH5280P1Z9,EY-100013,2181652.35,Rejected,4.0,22 Days,sap-fi01,SAP Ariba,39,86547,3375333
EY India Pvt. Ltd.,EY/2025/INV/1814,20-Apr-2025,Pune,+91-22-6134-9200,77AAECS1970C1Z3,Horizon Tech Solutions Pvt. Ltd.,39AACH6356P1Z7,EY-100014,1072951.18,Approved,4.7,12 Days,sap-sd01,SAP Ariba,90,25472,2292480
EY India Pvt. Ltd.,EY/2025/INV/1815,08-Apr-2025,Hyderabad,+91-22-6134-9200,26AAECS4733C1Z6,NextGen Softworks Pvt. Ltd.,64AACH7739P1Z9,EY-100015,2296500.64,Rejected,4.3,11 Days,sap-o02,SAP Analytics Cloud,49,46319,2269631
Deloitte Touche Tohmatsu India LLP,Deloitte/2025/INV/1816,16-Apr-2025,Bengaluru,+91-22-6134-9200,29AAECS8215C1Z7,CloudWave Systems Pvt. Ltd.,36AACH6410P1Z5,Deloitte-100016,2163873.6,Approved,3.8,18 Days,sap-o02,SAP Ariba,62,24436,1515032
KPMG Advisory Services Pvt. Ltd.,KPMG/2025/INV/1817,10-Apr-2025,Pune,+91-22-6134-9200,85AAECS5370C1Z7,Horizon Tech Solutions Pvt. Ltd.,71AACH4576P1Z3,KPMG-100017,679175.23,Pending,4.5,7 Days,sap-fi01,SAP Business One,69,54030,3728070
KPMG Advisory Services Pvt. Ltd.,KPMG/2025/INV/1818,15-Apr-2025,Pune,+91-22-6134-9200,78AAECS6267C1Z7,CloudWave Systems Pvt. Ltd.,98AACH7723P1Z3,KPMG-100018,2156866.84,Rejected,4.3,21 Days,sap-o02,SAP SuccessFactors,92,92931,8549652
KPMG Advisory Services Pvt. Ltd.,KPMG/2025/INV/1819,10-Apr-2025,Hyderabad,+91-22-6134-9200,89AAECS3806C1Z4,NextGen Softworks Pvt. Ltd.,31AACH1116P1Z3,KPMG-100019,1979362.13,Rejected,4.6,11 Days,sap-o01,SAP Business One,65,66574,4327310
EY India Pvt. Ltd.,EY/2025/INV/1820,15-Apr-2025,Mumbai,+91-22-6134-9200,87AAECS9182C1Z9,Infotech Edge Pvt. Ltd.,81AACH6990P1Z5,EY-100020,975434.87,Pending,4.0,9 Days,sap-o02,SAP Analytics Cloud,86,75947,6531442
PwC Consulting Pvt. Ltd.,PwC/2025/INV/1821,01-Apr-2025,Mumbai,+91-22-6134-9200,49AAECS9627C1Z9,CloudWave Systems Pvt. Ltd.,83AACH8266P1Z8,PwC-100021,963116.14,Approved,3.9,17 Days,sap-fi01,SAPS/4HANA Cloud,66,60655,4003230
EY India Pvt. Ltd.,EY/2025/INV/1822,02-Apr-2025,Hyderabad,+91-22-6134-9200,24AAECS2307C1Z3,Infotech Edge Pvt. Ltd.,37AACH6097P1Z8,EY-100022,1764086.23,Rejected,4.3,19 Days,sap-mm01,SAP SuccessFactors,73,60022,4381606
PwC Consulting Pvt. Ltd.,PwC/2025/INV/1823,13-Apr-2025,Mumbai,+91-22-6134-9200,27AAECS5812C1Z7,CloudWave Systems Pvt. Ltd.,83AACH4427P1Z2,PwC-100023,2430270.4,Rejected,4.8,20 Days,sap-o02,SAP Analytics Cloud,15,31633,474495
KPMG Advisory Services Pvt. Ltd.,KPMG/2025/INV/1824,12-Apr-2025,Bengaluru,+91-22-6134-9200,97AAECS2418C1Z6,NextGen Softworks Pvt. Ltd.,22AACH6054P1Z4,KPMG-100024,1408446.92,Pending,4.9,12 Days,sap-sd01,SAP SuccessFactors,95,79752,7576440
KPMG Advisory Services Pvt. Ltd.,KPMG/2025/INV/1825,02-Apr-2025,Pune,+91-22-6134-9200,15AAECS7965C1Z6,Infotech Edge Pvt. Ltd.,94AACH9827P1Z6,KPMG-100025,1527852.14,Rejected,4.5,16 Days,sap-o01,SAP Business One,88,96568,8497984
EY India Pvt. Ltd.,EY/2025/INV/1826,17-Apr-2025,Bengaluru,+91-22-6134-9200,99AAECS5894C1Z7,CloudWave Systems Pvt. Ltd.,26AACH9078P1Z7,EY-100026,2040427.05,Pending,4.5,25 Days,sap-o01,SAP SuccessFactors,18,76774,1381932
EY India Pvt. Ltd.,EY/2025/INV/1827,17-Apr-2025,Bengaluru,+91-22-6134-9200,51AAECS6319C1Z4,Infotech Edge Pvt. Ltd.,74AACH7856P1Z9,EY-100027,2135725.9,Approved,4.6,23 Days,sap-mm01,SAP Ariba,66,99682,6579012
PwC Consulting Pvt. Ltd.,PwC/2025/INV/1828,03-Apr-2025,Hyderabad,+91-22-6134-9200,22AAECS2640C1Z8,Infotech Edge Pvt. Ltd.,59AACH5175P1Z4,PwC-100028,1637793.4,Approved,4.1,5 Days,sap-o02,SAP SuccessFactors,73,34986,2553978
KPMG Advisory Services Pvt. Ltd.,KPMG/2025/INV/1829,16-Apr-2025,Hyderabad,+91-22-6134-9200,14AAECS9082C1Z4,CloudWave Systems Pvt. Ltd.,85AACH2699P1Z4,KPMG-100029,1956718.06,Pending,4.1,19 Days,sap-o01,SAP Ariba,87,31814,2767818
Deloitte Touche Tohmatsu India LLP,Deloitte/2025/INV/1830,05-Apr-2025,Mumbai,+91-22-6134-9200,81AAECS1842C1Z1,Infotech Edge Pvt. Ltd.,32AACH6348P1Z1,Deloitte-100030,2019507.54,Approved,4.4,6 Days,sap-mm01,SAP Analytics Cloud,49,90391,4429159
PwC Consulting Pvt. Ltd.,PwC/2025/INV/1831,20-Apr-2025,Hyderabad,+91-22-6134-9200,19AAECS5759C1Z6,NextGen Softworks Pvt. Ltd.,76AACH6403P1Z8,PwC-100031,2160186.61,Rejected,5.0,25 Days,sap-o01,SAP Business One,88,46365,4080120
PwC Consulting Pvt. Ltd.,PwC/2025/INV/1832,12-Apr-2025,Hyderabad,+91-22-6134-9200,20AAECS4688C1Z2,Horizon Tech Solutions Pvt. Ltd.,42AACH5267P1Z4,PwC-100032,2346949.73,Rejected,4.3,23 Days,sap-o01,SAPS/4HANA Cloud,92,38705,3560860
Deloitte Touche Tohmatsu India LLP,Deloitte/2025/INV/1833,03-Apr-2025,Hyderabad,+91-22-6134-9200,78AAECS7902C1Z3,NextGen Softworks Pvt. Ltd.,13AACH1923P1Z1,Deloitte-100033,1450017.98,Approved,4.8,14 Days,sap-fi01,SAP Analytics Cloud,98,26153,2562994
PwC Consulting Pvt. Ltd.,PwC/2025/INV/1834,07-Apr-2025,Hyderabad,+91-22-6134-9200,16AAECS6444C1Z6,Horizon Tech Solutions Pvt. Ltd.,69AACH4725P1Z1,PwC-100034,785147.4,Pending,4.9,11 Days,sap-o01,SAP Ariba,14,53231,745234
KPMG Advisory Services Pvt. Ltd.,KPMG/2025/INV/1835,11-Apr-2025,Hyderabad,+91-22-6134-9200,39AAECS6323C1Z9,CloudWave Systems Pvt. Ltd.,34AACH6888P1Z9,KPMG-100035,2480358.73,Approved,4.3,23 Days,sap-o01,SAP SuccessFactors,42,82936,3483312
EY India Pvt. Ltd.,EY/2025/INV/1836,13-Apr-2025,Pune,+91-22-6134-9200,44AAECS2634C1Z9,Infotech Edge Pvt. Ltd.,25AACH4413P1Z3,EY-100036,501110.93,Approved,4.5,19 Days,sap-sd01,SAP Business One,78,74628,5820984
Deloitte Touche Tohmatsu India LLP,Deloitte/2025/INV/1837,09-Apr-2025,Mumbai,+91-22-6134-9200,50AAECS3211C1Z8,Horizon Tech Solutions Pvt. Ltd.,46AACH3879P1Z3,Deloitte-100037,1876218.45,Rejected,3.5,7 Days,sap-o01,SAPS/4HANA Cloud,66,69816,4607856
Deloitte Touche Tohmatsu India LLP,Deloitte/2025/INV/1838,14-Apr-2025,Pune,+91-22-6134-9200,92AAECS7534C1Z9,NextGen Softworks Pvt. Ltd.,82AACH6360P1Z9,Deloitte-100038,1719023.4,Rejected,4.4,14 Days,sap-o02,SAPS/4HANA Cloud,71,44645,3169795
Deloitte Touche Tohmatsu India LLP,Deloitte/2025/INV/1839,01-Apr-2025,Bengaluru,+91-22-6134-9200,21AAECS7310C1Z4,CloudWave Systems Pvt. Ltd.,30AACH4176P1Z8,Deloitte-100039,1773643.7,Rejected,3.5,23 Days,sap-o01,SAP Analytics Cloud,75,64682,4851150
Deloitte Touche Tohmatsu India LLP,Deloitte/2025/INV/1840,04-Apr-2025,Mumbai,+91-22-6134-9200,31AAECS5654C1Z4,Horizon Tech Solutions Pvt. Ltd.,78AACH5372P1Z2,Deloitte-100040,1194963.59,Approved,4.8,19 Days,sap-o02,SAPS/4HANA Cloud,32,56984,1823488
KPMG Advisory Services Pvt. Ltd.,KPMG/2025/INV/1841,18-Apr-2025,Mumbai,+91-22-6134-9200,88AAECS1978C1Z1,CloudWave Systems Pvt. Ltd.,95AACH3267P1Z2,KPMG-100041,2138097.47,Approved,4.5,22 Days,sap-fi01,SAP Ariba,62,79062,4901844
Deloitte Touche Tohmatsu India LLP,Deloitte/2025/INV/1842,08-Apr-2025,Mumbai,+91-22-6134-9200,64AAECS3488C1Z1,Infotech Edge Pvt. Ltd.,62AACH8804P1Z7,Deloitte-100042,524471.82,Approved,4.1,15 Days,sap-fi01,SAP SuccessFactors,62,24821,1538902
KPMG Advisory Services Pvt. Ltd.,KPMG/2025/INV/1843,16-Apr-2025,Mumbai,+91-22-6134-9200,88AAECS3717C1Z1,CloudWave Systems Pvt. Ltd.,58AACH4798P1Z5,KPMG-100043,1317157.22,Approved,4.8,10 Days,sap-sd01,SAP Analytics Cloud,74,99599,7370326
KPMG Advisory Services Pvt. Ltd.,KPMG/2025/INV/1844,06-Apr-2025,Pune,+91-22-6134-9200,94AAECS4324C1Z5,NextGen Softworks Pvt. Ltd.,74AACH5780P1Z7,KPMG-100044,513006.58,Approved,4.3,20 Days,sap-o01,SAP Analytics Cloud,61,57177,3487797
PwC Consulting Pvt. Ltd.,PwC/2025/INV/1845,13-Apr-2025,Mumbai,+91-22-6134-9200,12AAECS7149C1Z9,Infotech Edge Pvt. Ltd.,87AACH9877P1Z1,PwC-100045,785250.86,Pending,4.8,19 Days,sap-mm01,SAP Ariba,100,44381,4438100
KPMG Advisory Services Pvt. Ltd.,KPMG/2025/INV/1846,21-Apr-2025,Hyderabad,+91-22-6134-9200,42AAECS8199C1Z3,Horizon Tech Solutions Pvt. Ltd.,34AACH4850P1Z5,KPMG-100046,2180315.26,Rejected,4.5,15 Days,sap-mm01,SAP Ariba,40,80936,3237440
EY India Pvt. Ltd.,EY/2025/INV/1847,17-Apr-2025,Bengaluru,+91-22-6134-9200,63AAECS5808C1Z2,Infotech Edge Pvt. Ltd.,63AACH7646P1Z3,EY-100047,2317392.52,Approved,3.8,9 Days,sap-mm01,SAP Business One,14,75883,1062362
KPMG Advisory Services Pvt. Ltd.,KPMG/2025/INV/1848,04-Apr-2025,Hyderabad,+91-22-6134-9200,96AAECS3101C1Z5,NextGen Softworks Pvt. Ltd.,89AACH9906P1Z9,KPMG-100048,528577.62,Rejected,3.9,8 Days,sap-fi01,SAP Analytics Cloud,35,69946,2448110
KPMG Advisory Services Pvt. Ltd.,KPMG/2025/INV/1849,09-Apr-2025,Pune,+91-22-6134-9200,95AAECS9334C1Z8,NextGen Softworks Pvt. Ltd.,25AACH6936P1Z4,KPMG-100049,2292233.25,Rejected,3.7,6 Days,sap-sd01,SAP Analytics Cloud,20,43599,871980
