Product_ID,Product_Name,Total_Units_Sold,Total_Revenue,Number_of_Orders,First_Sale_Date,Last_Sale_Date,Average_Price,Avg_Revenue_Per_Order
0035c6d2-416a-4032-a4ce-6d8d44cf825a,Gonzalez Inc,5,1116.05,1,2020-10-06,2020-10-06,223.20999999999998,1116.05
0036896c-2313-4f6a-99df-87bc848b7bfc,"Lewis, Lamb and Vasquez",9,7937.55,1,2020-07-20,2020-07-20,881.95,7937.55
003bd321-2b88-4fef-8286-c83a77548478,Jones-Garcia,15,12792.75,3,2020-02-09,2023-03-05,852.85,4264.25
004418cc-745f-4680-913d-6ecbd3dff89a,"Wiley, Klein and Villa",18,9798.300000000001,3,2020-04-09,2022-12-01,544.35,3266.1000000000004
0045210f-26b1-4468-9d7a-8377f5b18d96,"Wilkins, Mercer and Sims",1,1351.26,1,2021-05-27,2021-05-27,1351.26,1351.26
0046c167-6588-4986-b814-34a88fdf53f8,"Martinez, Gibson and Holland",30,3797.3999999999996,4,2020-01-06,2023-02-10,126.57999999999998,949.3499999999999
0046e34f-e15e-4a0d-b084-bc183b7f3467,Coleman-Collins,27,4323.24,4,2020-05-26,2022-07-28,160.12,1080.81
0049f2d6-2ce0-4232-81fb-fe705c706de8,Cruz and Sons,6,3691.92,1,2023-10-19,2023-10-19,615.32,3691.92
004ba6e1-de98-4872-9ee1-ce84d30a4072,"Marshall, Ross and Brewer",27,8975.88,5,2020-04-28,2022-09-12,332.44,1795.176
004c10f7-d0ea-4db7-bcf0-5cb2080b394d,Braun-Sanchez,8,1370.88,1,2023-10-22,2023-10-22,171.36,1370.88
0050043e-563c-4427-bc37-d666c31bb9fe,"Johns, Allison and Reilly",8,6949.84,1,2023-06-16,2023-06-16,868.73,6949.84
0050dfcb-401a-4875-9a85-aeba0a0d0e14,Fischer Group,8,6857.76,2,2021-07-29,2022-12-09,857.22,3428.88
00531f21-87f3-4207-9abb-e365f209a51c,Gomez-Hicks,13,17718.35,2,2022-12-11,2023-09-01,1362.9499999999998,8859.175
0053622d-0d12-4a97-b286-b73b48c90c16,"Castaneda, Rubio and Whitaker",11,231.44,2,2023-01-23,2023-01-30,21.04,115.72
0056ffd9-e786-4037-96f7-3378ebce68ba,Pearson-Johnson,37,12010.94,6,2020-07-24,2022-07-11,324.62,2001.8233333333335
00591096-9d5f-4a26-8e5c-380f0d5a4170,"Page, Wong and Williams",18,22642.74,4,2020-10-07,2023-08-21,1257.93,5660.685
005ae164-91cd-4396-ab22-2681fd533b1a,Harris and Sons,5,1164.2,1,2020-01-13,2020-01-13,232.84,1164.2
005bc15b-43da-4331-87b7-a4e57eaf5fb3,"Alvarez, Robertson and Hebert",5,1842.9,1,2021-08-24,2021-08-24,368.58000000000004,1842.9
005be940-c425-406f-8907-bb83e10744d2,Wells-Duke,7,6513.639999999999,1,2023-09-02,2023-09-02,930.5199999999999,6513.639999999999
006059a5-edd7-4bda-af31-9b236a486c18,Fuller Ltd,10,2771.7999999999997,2,2022-06-19,2023-07-02,277.17999999999995,1385.8999999999999
00613938-4f65-4d2e-ad3e-01f5a45ad697,"Hart, Baxter and Bauer",21,15100.05,4,2020-05-15,2023-06-01,719.05,3775.0125
0061754d-d412-4b78-bd41-4c4f40ef8738,Cordova-Love,7,2160.62,2,2020-01-19,2021-12-01,308.65999999999997,1080.31
006e3dd6-c1b8-4008-bca9-7170ff84d12c,Zimmerman-Braun,7,8518.09,2,2021-01-04,2022-02-23,1216.8700000000001,4259.045
006f575e-c58b-4fdb-b53f-bcbb21279152,Parker-Wilson,6,686.4000000000001,1,2021-06-05,2021-06-05,114.40000000000002,686.4000000000001
0070274d-a97c-42c6-8912-31615b9dd74f,"Levy, Grant and Harris",9,3751.83,2,2020-01-20,2021-09-02,416.87,1875.915
0075a092-6a29-4209-a71a-e572b89645f4,"Smith, Butler and Guerra",11,11713.46,2,2021-01-03,2021-09-05,1064.86,5856.73
0075b2e3-ef14-4919-92ac-cfdd1a8ebeb0,Lane Inc,14,2613.1000000000004,2,2023-02-08,2023-04-20,186.65000000000003,1306.5500000000002
007e7b78-ff07-471d-9c8e-9d0a4e0571c0,Quinn Ltd,20,24277.800000000003,3,2020-06-04,2022-01-01,1213.89,8092.600000000001
00831e0c-893c-413e-9130-83284f09d3e8,"Myers, Jimenez and Liu",9,6560.7300000000005,1,2023-11-27,2023-11-27,728.97,6560.7300000000005
00836421-4c53-44c0-b2ec-6926039648cf,"Byrd, Rogers and Tucker",2,1192.14,1,2023-12-11,2023-12-11,596.07,1192.14
00866007-e3f8-4c06-9c0a-dfdad06f4dc9,Miller Ltd,3,2333.34,1,2020-01-03,2020-01-03,777.7800000000001,2333.34
00899a31-05e9-4cd0-977b-0b522c4b6a08,"Hayden, Jacobs and Thomas",1,141.27,1,2020-09-23,2020-09-23,141.27,141.27
008bccaa-c5aa-4c1c-81c4-fc61b292dc53,"Burke, Thomas and Brennan",2,588.14,1,2022-01-25,2022-01-25,294.07,588.14
008c1eeb-1125-4545-a85f-425503f90ab1,Medina-Strong,18,14748.480000000001,3,2020-04-08,2023-08-23,819.3600000000001,4916.160000000001
008c285d-0f2e-4145-a3b1-c063b2d281c4,"Moreno, Clark and Mccoy",8,7862.08,1,2021-03-26,2021-03-26,982.76,7862.08
008e4990-6628-4b88-a51b-fc3e6547803f,Johnson Ltd,1,552.14,1,2023-03-21,2023-03-21,552.14,552.14
008ee4f8-4bb3-4c8e-bf12-183d71dba009,Mercado-Watkins,5,3909.8,1,2020-11-12,2020-11-12,781.96,3909.8
00912b78-3320-4e73-9453-0167c391cc2a,Perez-Mercado,31,23493.66,4,2020-09-25,2023-11-28,757.86,5873.415
009441b3-954d-40ce-822c-a2116746c663,Gill-Gordon,15,3809.4,3,2020-12-20,2022-05-30,253.96,1269.8
0094aa6b-359d-4c38-9657-04cf3344a51d,Johnson-Hester,10,139.9,1,2020-07-12,2020-07-12,13.99,139.9
0098a220-4dcf-4a85-9c4b-ef59470d4525,"Douglas, Flynn and Johnson",13,5435.6900000000005,2,2020-12-14,2023-09-05,418.13000000000005,2717.8450000000003
0099147e-6c21-4407-bab2-92d144f2e811,Peterson-Griffin,17,292.23,3,2020-06-18,2023-07-16,17.19,97.41000000000001
00a0ca95-8f2a-45f7-ac67-e8f2ef25104f,Stevens PLC,24,1640.3999999999999,3,2020-03-11,2022-07-27,68.35,546.8
00a7483e-464c-499e-8f84-58fbb392b5ad,"Bradley, Villanueva and Dixon",12,6973.56,3,2021-04-24,2023-07-05,581.13,2324.52
00aa4081-6304-49a2-8300-b52ed270f5ed,Jimenez-Gallagher,11,21766.58,3,2020-04-01,2023-10-05,1978.7800000000002,7255.526666666668
00aab5fe-5aa6-44a8-9e15-1a079696701c,"Baker, Hernandez and Morgan",9,1688.58,1,2020-01-23,2020-01-23,187.62,1688.58
00adf537-457e-41f2-8e2a-d62abc88e5e6,Hopkins-King,3,3105.06,1,2022-10-15,2022-10-15,1035.02,3105.06
00ae9fc3-386a-41d0-95d0-5bb596ae4197,Lewis-Spencer,19,16365.460000000001,5,2020-09-27,2023-02-20,861.34,3273.092
00b159b8-4891-4623-ae8e-4611dbe0a7da,Strickland-Dunlap,11,5541.03,2,2022-05-23,2023-04-05,503.72999999999996,2770.515
00b292f9-a765-40ca-b065-60cd2cf2ae46,Lawrence-Jackson,6,3926.82,1,2023-10-08,2023-10-08,654.47,3926.82
00b59968-0b8a-4ecc-ace2-d975c40ad9e4,Mckinney Ltd,2,493.02,1,2022-10-24,2022-10-24,246.51,493.02
00b72504-ec01-4548-9ace-1f1c6f5e15c1,Robinson Ltd,18,19909.08,2,2020-06-05,2022-05-19,1106.0600000000002,9954.54
00bc53ae-3e39-4361-870e-92176dc9ee07,Hendricks Ltd,10,3630.3,1,2021-02-14,2021-02-14,363.03000000000003,3630.3
00c33e12-d02a-479e-a13f-533da2bd59a9,Cooper and Sons,19,11002.14,3,2020-07-11,2023-12-28,579.06,3667.3799999999997
00c7cd43-a4c4-4d10-9161-242725a06cf9,"Todd, Shea and Gilbert",15,9600.9,2,2021-10-26,2022-07-27,640.06,4800.45
00cb463c-7d12-4e7b-a3fd-670cbac40cee,"Casey, Fox and Diaz",15,4732.5,2,2021-08-08,2022-11-03,315.5,2366.25
00cd1873-78c1-4cf0-be55-e319e60a859c,Sims Group,21,15806.279999999999,4,2021-06-28,2023-06-20,752.68,3951.5699999999997
00cda987-cf0d-460d-bb2e-7cd865b1a483,Kirby LLC,3,2289.45,2,2020-06-14,2020-08-13,763.15,1144.725
00d1e2c5-05dd-41d0-99c4-07b9d647576d,"Mason, Lara and Taylor",23,288.19,3,2021-05-22,2023-11-15,12.53,96.06333333333333
00d21d18-fad9-42cb-b4e0-6b20592d39e5,Watson Inc,27,18179.91,3,2020-03-09,2023-10-10,673.33,6059.97
00d42f17-2842-461b-945b-93b64f3f6351,Baldwin Group,10,5538.099999999999,1,2023-09-13,2023-09-13,553.81,5538.099999999999
00d7dab8-a819-4c0e-9eae-6c3d7fdbf675,Campbell and Sons,22,17906.9,3,2021-07-22,2022-12-21,813.95,5968.966666666667
00d8c48d-1df3-4d4d-92ba-e01457e30d55,"Beltran, Wright and Martinez",9,1185.66,1,2023-09-27,2023-09-27,131.74,1185.66
00e36537-75b3-46ca-9130-a3f11545f7ec,Petersen-Baker,22,11962.72,4,2021-01-28,2023-12-09,543.76,2990.68
00e5e91c-9e46-4a43-b4f4-a0211d9254be,Williams Group,4,945.92,1,2023-08-14,2023-08-14,236.48,945.92
00e5fec6-929a-400d-9432-cb3d4728dc8e,Drake-Berry,21,3003.0,3,2020-08-20,2023-08-10,143.0,1001.0
00e7d0ac-c9d2-46de-a118-207cbe16601a,"Smith, Williams and Anthony",4,4238.36,1,2020-11-27,2020-11-27,1059.59,4238.36
00ea7db5-d070-4674-8767-a340dd6c959e,Miles LLC,10,3224.9,1,2022-10-07,2022-10-07,322.49,3224.9
00ebc3e5-f41b-4770-85b2-77e61d3c6919,"Shepard, Ford and Kelly",10,304.9,2,2020-09-15,2023-12-24,30.49,152.45
00edcb6e-e0b5-4114-8307-217b1ce1465a,Jones-Flores,9,3192.3,1,2021-01-12,2021-01-12,354.70000000000005,3192.3
00f48af7-7598-4fb7-9b13-329f20f4e15d,"Holmes, Hanson and Velez",22,1109.9,4,2022-12-17,2023-09-11,50.45,277.475
00f624ae-f58f-4b0c-9a69-43735a923433,Vazquez-Williams,9,4051.26,2,2020-06-12,2022-05-20,450.14000000000004,2025.63
00f8256b-07b3-46fa-b38c-cb27040eef8b,Anderson-Acosta,8,5716.72,2,2021-01-01,2023-06-30,714.59,2858.36
00fbc21f-fa83-45b5-9c9c-d3d07bbdc443,Gordon-Rogers,9,1661.7599999999998,1,2020-04-28,2020-04-28,184.64,1661.7599999999998
00fc730d-c80e-4c3a-a91c-59574418beaf,Moore-Griffith,19,26510.13,3,2020-01-27,2022-01-27,1395.27,8836.710000000001
00fdc451-55db-4cce-a689-97a2ead60156,Pacheco Ltd,17,3932.1000000000004,3,2020-04-04,2022-06-14,231.3,1310.7
00fdf102-b020-46cb-a943-4e06c12a0905,Morgan-Kim,4,1264.0,1,2022-04-18,2022-04-18,316.0,1264.0
0101c749-7317-404e-af7b-57f3b41e98e4,"Meza, Lewis and Massey",24,14096.64,3,2021-05-22,2022-02-05,587.36,4698.88
0103d98e-a66c-4e20-a2b7-5dfe5529ce1c,Frank Ltd,23,1192.3200000000002,3,2020-05-17,2023-10-19,51.84000000000001,397.44000000000005
01057bc4-cdab-442f-a756-50d34de31a1d,Smith PLC,18,7679.34,2,2020-01-12,2021-01-20,426.63,3839.67
01058f85-8c98-4846-a171-197c6afc40da,Brewer-Aguilar,9,9538.380000000001,3,2021-06-26,2023-03-24,1059.8200000000002,3179.4600000000005
0106eec3-2e92-479d-a517-d21e938df660,Allen-Barrera,17,8327.619999999999,2,2020-04-26,2021-09-13,489.85999999999996,4163.8099999999995
010ed6c7-2c9e-44ac-a602-4e17c05e7e0d,Hodge-Maxwell,14,3029.18,2,2020-10-01,2021-08-03,216.36999999999998,1514.59
0112b52d-ed3f-4fb9-8868-831a837c7d67,Alvarado LLC,6,4401.24,2,2021-08-21,2023-08-02,733.54,2200.62
01131ecd-10c1-4c52-b3ba-cd65f66d1c5e,Burns and Sons,2,843.12,2,2021-03-29,2022-02-23,421.56,421.56
011403a2-97ec-4b38-939a-2cdd21de749c,Hood Ltd,1,503.07,1,2021-03-10,2021-03-10,503.07,503.07
01167877-52cf-40c1-8106-099e8b361c5f,Gentry PLC,14,23651.88,2,2021-01-21,2021-11-24,1689.42,11825.94
011766f7-3ec6-4a17-8156-514f2c6e7dc5,Ward Ltd,15,12090.45,3,2020-03-07,2022-09-29,806.0300000000001,4030.15
01191904-d499-448c-b0f2-fe5e3fd242af,Simmons-Garcia,24,8544.72,4,2020-01-19,2022-12-30,356.03,2136.18
0119f051-f239-4f2b-b807-cef7f36532a8,Rojas Group,15,19873.05,4,2020-01-02,2023-08-01,1324.87,4968.2625
011bd073-9bbb-434a-bc31-97502c3bb6e1,Burke PLC,2,533.78,1,2023-12-03,2023-12-03,266.89,533.78
011d98e9-be91-4e03-bbe9-9adc67ee7d9f,Le Inc,4,4882.6,2,2021-10-12,2022-05-26,1220.65,2441.3
012275e2-efd9-4ea8-b767-fb41b0d58f76,Ramirez-May,24,4427.28,5,2021-06-06,2023-12-29,184.47,885.4559999999999
0129f1a3-8bed-40cc-8f7a-a25747698aeb,Ramirez Ltd,4,2387.04,2,2021-06-13,2021-11-21,596.76,1193.52
012b833e-f2be-4355-b79d-87e03674b51f,White Inc,6,1614.06,2,2020-12-17,2021-12-28,269.01,807.03
012ef922-fec4-405f-af0c-062c7a9d83e4,Walker PLC,12,10727.64,2,2020-08-06,2021-02-07,893.9699999999999,5363.82
012fe151-d14e-4e5d-a414-7548230c8a95,"Turner, Morgan and Norman",3,2482.23,1,2023-10-21,2023-10-21,827.41,2482.23
01306494-edfd-4f2e-b47a-7e417198b761,"Smith, Ferguson and Lee",8,202.48,1,2022-11-23,2022-11-23,25.31,202.48
01308477-a6ee-4165-acbc-e054829556f2,Gomez-Hill,7,2147.88,1,2020-05-15,2020-05-15,306.84000000000003,2147.88
01317039-23d1-42f1-9c8c-b786d363c40c,Perkins-Morgan,6,347.64,1,2021-03-24,2021-03-24,57.94,347.64
0137b409-35f9-4776-8c0a-421fa371dc2d,Reed PLC,16,7013.6,2,2022-08-09,2023-11-24,438.35,3506.8
0137fca2-7be8-4f6c-968c-cb718b8308e6,Davidson-Thompson,12,10210.68,2,2020-06-13,2022-06-10,850.89,5105.34
013ab195-f521-4a93-afa3-b9108253c672,Conrad Inc,19,554.23,5,2020-01-17,2022-11-29,29.17,110.846
013b9180-4d7f-4535-b690-71b5fc0bc9b7,"Washington, Baker and Moss",14,15287.02,2,2020-09-02,2020-12-12,1091.93,7643.51
013bbd59-257d-4833-915c-d34849c4043f,"Ramirez, Young and Oliver",30,35255.100000000006,5,2020-10-01,2023-03-22,1175.1700000000003,7051.020000000001
013dcf25-a57b-4935-b938-6afcde72c1cb,Walton-Foster,5,956.6,1,2020-12-21,2020-12-21,191.32,956.6
0140ae6a-84bc-4860-a738-9110e30a83e0,"Ramirez, Larsen and Gutierrez",17,11536.54,3,2022-01-04,2022-12-13,678.62,3845.513333333334
014773bb-99d7-4902-b4ba-a4f18908e4f2,Harris PLC,37,28790.44,7,2020-06-01,2023-10-23,778.12,4112.92
014e87bd-96b2-4bb3-8624-9daab9008eaf,Hampton-Wilson,6,2999.46,1,2023-01-26,2023-01-26,499.91,2999.46
014ffc68-d627-4771-8b2c-858d871cc8db,Santiago-Stewart,12,4173.12,2,2022-01-03,2022-07-31,347.76,2086.56
0154794d-70d4-4d52-8cd1-5a8a26e56d92,Peterson-Garcia,3,140.22,1,2023-10-07,2023-10-07,46.74,140.22
01561ca7-f64c-432e-899b-f9b46ed8d0cd,"Jones, Hayes and Miller",1,301.84,1,2021-04-21,2021-04-21,301.84,301.84
015b3226-5fbd-4fef-9cd9-076cd41adfdf,Lucas Ltd,9,2726.91,2,2022-10-20,2022-12-19,302.99,1363.455
015c212d-f0bd-487d-8275-6fd6018658de,"Bailey, Nunez and Baxter",17,21059.940000000002,2,2021-02-27,2021-05-19,1238.8200000000002,10529.970000000001
015cf85c-e680-4e92-b448-9900160b4af7,Evans PLC,7,1777.93,1,2022-05-21,2022-05-21,253.99,1777.93
015f02b9-2f9f-464d-9944-c7aa6b743a65,Murphy-Snyder,26,13427.700000000003,5,2020-05-26,2023-08-16,516.45,2685.5400000000004
0163052e-fbb6-4e22-9054-9b116e0b3d3e,Barton-Peterson,28,22487.08,3,2021-02-09,2023-08-03,803.11,7495.693333333334
0164e329-5fd0-4b8e-9058-43ea071ca0b0,"Cook, Webb and Mueller",1,954.62,1,2021-09-03,2021-09-03,954.62,954.62
016624f7-5a7e-48e4-aad2-a85370ef8772,Madden-Johnson,29,10543.82,5,2020-11-15,2023-11-08,363.58,2108.764
01665c8e-1fef-409a-a773-9fca1ae9acad,"Reid, Foster and Marsh",4,1103.52,1,2022-03-06,2022-03-06,275.88,1103.52
0166729b-0efc-4625-a301-3eb1cc3872b9,Jones-Jones,6,843.18,2,2020-03-28,2021-09-05,140.53,421.59
01674ff3-97e5-4550-b5d5-0929b5401868,"Cox, Smith and Evans",10,11088.2,1,2022-10-11,2022-10-11,1108.8200000000002,11088.2
016ed72e-4507-4241-ad57-da92462dc3e2,"Sanchez, Pollard and Owens",27,12673.8,6,2020-05-16,2023-06-12,469.4,2112.2999999999997
016f07e9-d59c-4218-9633-c9fa0fe47705,Cooper-Black,16,5466.5599999999995,3,2020-12-14,2022-02-04,341.65999999999997,1822.1866666666665
01724a36-e965-4bdc-8698-537158d1d3b6,"Scott, Santos and Carson",28,10123.12,6,2020-03-24,2023-10-11,361.54,1687.1866666666667
0173454f-96e2-4be1-87fa-03522db98b13,"Hodges, Gallegos and Anderson",4,980.6,1,2023-08-10,2023-08-10,245.15,980.6
01749819-f572-44ca-990a-4311ea6c5b63,Nunez Inc,13,3679.2599999999998,2,2021-11-17,2023-12-13,283.02,1839.6299999999999
017562ac-dca9-47d6-b1db-1569503a3625,Chaney LLC,9,7178.039999999999,1,2021-10-05,2021-10-05,797.56,7178.039999999999
01760377-d55d-4791-bbca-4709454dcbc7,Miller-Hill,7,2328.27,3,2020-11-21,2022-12-29,332.61,776.09
0176ef0e-0d54-4b2d-b404-531c864eefb2,Davis Group,8,372.32,1,2020-11-09,2020-11-09,46.54,372.32
0177fd57-fbe3-4a23-9d5d-1aa2bd4569b7,Stewart-Jones,12,804.48,4,2020-06-11,2023-08-19,67.04,201.12
01783853-e7a6-48c3-a9e0-711172ff6368,"Osborne, Greer and Green",14,4932.759999999999,3,2021-12-05,2023-10-07,352.34,1644.253333333333
017857b0-bfc8-4dc0-b803-63aad9aca032,"Hall, Lopez and Torres",27,27662.309999999998,6,2020-03-21,2023-04-01,1024.53,4610.384999999999
0178db68-e5c3-4d82-a158-ac68c5001f61,Kidd Ltd,14,1520.54,2,2021-09-04,2023-07-31,108.61,760.27
017adda4-88df-4512-8be0-bc55507e028e,"Welch, Cox and Young",13,1395.03,2,2022-07-01,2023-04-07,107.31,697.515
0180ffb2-1896-4009-a768-9cbdd14a9ecb,George Inc,1,459.94,1,2020-11-01,2020-11-01,459.94,459.94
01812ce0-27d9-43ea-8041-1576a291e79e,Conley-Burke,8,8653.84,1,2020-06-16,2020-06-16,1081.73,8653.84
01821db1-842a-4874-9580-1524427e12d1,"Lopez, Hawkins and Jones",23,5742.18,3,2020-09-08,2021-08-01,249.66000000000003,1914.0600000000002
0182edd1-1f98-423c-9179-e46b50a1e19a,Nelson and Sons,10,1954.2,1,2021-08-01,2021-08-01,195.42000000000002,1954.2
0186b3be-5331-400d-9e5c-aa420df2a9a9,Collins and Sons,2,1757.76,1,2020-10-10,2020-10-10,878.88,1757.76
01882a57-e815-46a8-bccc-9d1137419796,Nelson LLC,27,3522.96,4,2021-04-18,2023-11-26,130.48,880.74
018927d5-b169-499c-b364-a8781d389647,Hughes-Nelson,6,6637.14,3,2020-03-07,2023-09-29,1106.19,2212.38
018999e8-d3d5-4e74-a909-b1ed3622eb0c,Olson LLC,12,6808.68,2,2023-07-23,2023-11-15,567.39,3404.34
018bf5c7-63e6-4cd5-8ee0-6b6cac8d7690,Lawson PLC,34,37701.92,5,2020-02-28,2021-11-08,1108.8799999999999,7540.384
018f92ae-7252-4320-9eb8-bb025f195fd5,"Obrien, Delgado and Spencer",7,4022.4799999999996,2,2023-11-21,2023-12-12,574.64,2011.2399999999998
0192868e-14db-4b57-9fec-8901d01db4d1,"Ingram, Spencer and Garcia",10,514.9,1,2022-12-03,2022-12-03,51.489999999999995,514.9
01937db7-9cfa-4c55-992b-cdf0de53b6e0,"Johnson, Martinez and Woodward",3,2451.39,1,2023-03-16,2023-03-16,817.13,2451.39
0195550c-49f6-450f-9167-aac47a2886c0,Boyd Ltd,8,3307.68,1,2022-03-02,2022-03-02,413.46,3307.68
019bba8a-9108-45b5-b143-9709e7d8a9d3,"Floyd, Dunn and Perez",8,340.08,2,2021-09-16,2022-10-08,42.51,170.04
019cccdd-eb77-4746-9cf5-f3402db0b6fc,Hodge-Murphy,10,11284.1,1,2022-11-03,2022-11-03,1128.41,11284.1
01a598a7-bd45-4626-bb18-674096ce482a,Aguilar and Sons,5,3871.6000000000004,2,2020-06-06,2021-04-18,774.32,1935.8000000000002
01a5f4ba-ea64-4f0b-b231-4581dcbd1112,"Kennedy, Rogers and Valentine",10,4625.400000000001,1,2022-03-14,2022-03-14,462.5400000000001,4625.400000000001
01a6ad75-e663-41e9-b6fd-14bcf6e18b00,Martin LLC,3,437.4,1,2022-11-27,2022-11-27,145.79999999999998,437.4
01a945b1-38c9-4ed5-b0ac-fd560f807e71,"Callahan, Osborne and Sawyer",7,1765.8899999999999,2,2020-04-27,2021-03-27,252.26999999999998,882.9449999999999
01ab65ef-aa63-423b-8e16-27b94eee4950,"Jones, Chambers and Welch",10,8488.300000000001,1,2020-05-18,2020-05-18,848.8300000000002,8488.300000000001
01b7f554-f253-4552-9826-3e2ca39fe6fd,"Friedman, Hall and Gordon",17,5872.990000000001,3,2020-10-23,2023-11-20,345.47,1957.6633333333336
01b95914-c02f-4833-97d7-c991d796087d,Gibson-Long,7,5349.1900000000005,2,2022-05-28,2022-08-05,764.1700000000001,2674.5950000000003
01babfad-7144-4ba9-922e-783c6a1e914a,"Burton, Bradley and Parker",20,22788.0,3,2021-05-25,2023-12-13,1139.4,7596.0
01bbe8b3-46d9-4413-8302-7ebe7feaa316,"Phillips, Larsen and Warren",8,1992.56,2,2021-07-04,2023-07-07,249.07,996.28
01bf44f7-1c69-48d3-99d7-8f9019bf1225,Rivera Ltd,20,4811.000000000001,3,2020-03-04,2022-10-11,240.55000000000004,1603.666666666667
01c1cdde-bd98-47b7-9d7c-61d2d973d849,"Lee, Gomez and Perez",5,1187.6,1,2023-05-26,2023-05-26,237.51999999999998,1187.6
01c2e537-4a7e-44ec-a0d9-963b50aef2f0,Hines-Sanchez,9,8125.2,1,2023-06-20,2023-06-20,902.8,8125.2
01c3f73f-18f9-45cc-a774-61d3ea031faf,Ramirez-Burch,5,2268.3,1,2023-01-25,2023-01-25,453.66,2268.3
01c48990-19eb-4ab4-a60b-d502ef051f77,"Myers, Carter and Spencer",27,542.16,3,2021-02-11,2022-01-14,20.08,180.72
01c492a6-ce0b-40d6-8e33-8cd0b82a23da,"Morgan, Ramos and Costa",1,342.36,1,2021-06-29,2021-06-29,342.36,342.36
01c7d16f-103e-4082-b325-be735267876b,Ryan Group,24,16542.96,5,2020-10-10,2021-11-09,689.29,3308.5919999999996
01c8a38a-a936-48aa-b821-1428b893a7b4,Knight Ltd,7,2158.31,1,2023-06-28,2023-06-28,308.33,2158.31
01c94317-5c98-43fb-aafe-e6b2c90ae6f7,Levy and Sons,15,172.64999999999998,2,2021-10-18,2022-07-26,11.509999999999998,86.32499999999999
01c9dff2-8c4b-4c9e-9ec7-b018ebeb9fb0,Mitchell and Sons,6,300.36,1,2021-01-21,2021-01-21,50.06,300.36
01ca9b7b-1f57-4743-9a58-a7a93a3929c6,Kennedy-Jones,13,12017.98,3,2020-02-25,2022-01-26,924.4599999999999,4005.9933333333333
01d8352f-66e6-41fe-bb0c-715d6d0b669f,Harmon LLC,8,1805.04,3,2020-08-23,2023-05-05,225.63,601.68
01dc92c4-855d-40a5-a616-3cd09a226ed5,Nichols and Sons,10,1816.6,2,2020-07-10,2021-08-04,181.66,908.3
01dc9357-d935-4618-8b55-6b22d07d39f8,"Morgan, Floyd and Collins",8,6476.72,2,2021-07-14,2022-05-29,809.59,3238.36
01dcea36-f50c-485f-bb6f-67530a6d36a4,"Smith, Doyle and Wilson",40,4339.599999999999,5,2021-01-24,2023-08-26,108.48999999999998,867.9199999999998
